PID,UI,erkannt,weiter,summe 
P1.1,mit Karte,213608,122306,350267
P1.3,none,93005,252549,345608
P10.1,mit Karte,263783,285577,549410
P10.2,mit Karte,265439,91504,356987
P10.3,none,293227,302549,669326
P10.4,none,229789,175890,405732
P11.1,mit Karte,187220,261710,448974
P11.2,mit Karte,133959,184558,318568
P11.3,none,66559,273203,339814
P11.4,none,241253,49640,296640
P12.1,mit Karte,336006,52559,388611
P12.2,mit Karte,178182,246184,424423
P12.3,none,325332,253547,610720
P12.4,none,151511,214329,396429
P13.1,mit Karte,140293,264129,404472
P13.2,mit Karte,188284,234356,422695
P13.3,none,154230,313400,467680
P13.4,none,176934,244392,421381
P14.1,mit Karte,155008,204227,379347
P14.2,none,82364,290150,372568
P14.3,mit Karte,104191,258727,362968
P14.4,none,80292,232045,319114
P15.1,mit Karte,351851,21290,373193
P15.2,mit Karte,137957,152882,290890
P15.3,none,276238,61249,337534
P15.4,none,351351,32741,384145
P16.1,mit Karte,246175,134282,380501
P16.2,mit Karte,425347,218603,644003
P16.3,none,108237,216438,324731
P16.4,none,94276,296662,390991
P17.1,mit Karte,352878,313666,666601
P17.2,mit Karte,529344,168411,697801
P17.3,none,859379,68461,927889
P17.4,none,226438,137563,364049
P18.1,mit Karte,418766,302132,720947
P18.2,mit Karte,91525,254391,345961
P18.3,none,146555,344247,490853
P18.4,none,281496,59124,340681
P19.1,mit Karte,264735,22774,287560
P19.2,mit Karte,89626,201126,290796
P19.3,none,205246,221660,426955
P19.4,none,161666,212599,374314
P2.1,mit Karte,277633,244902,522590
P2.2,mit Karte,268989,160571,429606
P2.3,none,222652,218458,441159
P2.4,none,444670,47736,492452
P20.1,mit Karte,122899,221475,344425
P20.2,mit Karte,201326,358756,560127
P20.3,none,89887,272168,362107
P20.4,none,88980,203640,292677
P21.1,mit Karte,227301,211400,438759
P21.2,mit Karte,181335,282416,463797
P21.3,none,340494,268204,611079
P21.4,none,240183,291614,531856
P22.1,mit Karte,607710,230214,843187
P22.2,mit Karte,620709,283374,904129
P22.3,none,144779,246282,391115
P22.4,none,86949,176061,263067
P23.1,mit Karte,103366,298146,401555
P23.2,mit Karte,80469,258057,338573
P23.3,none,172487,310879,535888
P23.4,none,172679,217400,390139
P24.1,mit Karte,338283,182790,556287
P24.2,mit Karte,171428,285617,457102
P24.3,none,445102,139676,589251
P24.4,none,216532,170121,411335
P24.5,mit Karte,163010,219640,382703
P24.6,none,315432,26076,341561
P25.1,mit Karte,813619,225576,1039245
P25.2,mit Karte,156562,196245,352869
P25.3,none,111875,208010,319953
P25.4,none,187514,223085,410651
P26.1,mit Karte,284833,162790,456731
P26.2,mit Karte,446669,88765,538096
P26.3,none,285103,197254,482411
P26.4,none,705171,155225,860453
P27.1,mit Karte,435818,313910,749780
P27.2,mit Karte,461113,259162,720327
P27.3,none,202620,255223,457900
P27.4,none,466370,181619,648046
P27.5,none,149213,176528,325801
P27.6,mit Karte,373706,314758,688516
P28.1,mit Karte,58746,247891,306693
P28.2,mit Karte,73525,280878,354451
P28.3,none,57565,250427,308045
P28.4,none,75442,301163,376656
P29.1,mit Karte,224106,234060,471508
P29.2,mit Karte,171033,196285,367368
P29.3,none,114240,238995,353304
P29.4,none,119466,264911,384430
P3.1,mit Karte,190896,217088,408033
P3.2,mit Karte,39377,253520,292952
P3.3,none,113312,190314,303683
P3.4,none,261893,48395,310341
P30.1,mit Karte,120479,308178,428706
P30.2,mit Karte,182595,262516,445158
P30.3,none,179771,159425,339248
P30.4,none,118660,217209,335913
P4.1,mit Karte,121992,155315,307203
P4.2,mit Karte,430826,126161,568827
P4.3,none,960466,253467,1213983
P4.4,none,281618,127901,409571
P5.1,mit Karte,62477,202362,264883
P5.2,mit Karte,190066,121760,321088
P5.3,none,212714,244063,456834
P5.4,none,148705,188500,337276
P6.1,mit Karte,851367,229725,1081137
P6.2,mit Karte,1057525,280072,1337647
P6.3,none,471799,241061,712921
P6.4,none,671131,262788,933975
P7.1,mit Karte,188802,311736,500586
P7.2,mit Karte,108228,208651,329905
P7.3,none,110371,223599,334024
P7.4,none,135799,190616,326478
P8.1,mit Karte,286778,207559,494394
P8.2,mit Karte,305509,217238,522794
P8.3,none,105389,222733,328177
P8.4,none,146779,170141,316976
P9.1,mit Karte,207450,155889,363387
P9.2,mit Karte,108779,192112,300935
P9.3,none,66728,230441,297218
P9.4,none,91946,196175,288176
